task_number,supplier,sample,declared_mg,tested_mg,deviation_mg,deviation_pct
82282,www.licensedpeptides.com,Retatrutide 40mg | 99.5% Purity + Guaranteed. #1 R,40.0,44.33,4.329999999999998,10.824999999999996
79432,Modern Research LLC,Retatrutide 20mg | Shipping to US & Canada,20.0,50.39,30.39,151.95000000000002
87708,http://www.hemanpeptide.com/,Klow80(TB-500 10mg+BPC-157 10mg+GHK-CU 50mg+KPV 10,10.0,106.64,96.64,966.4
87710,http://www.hemanpeptide.com/,Tesamorelin 10mg,10.0,10.38,0.3800000000000008,3.8000000000000074
83375,Modern Research LLC,BPC-157/TB500 10mg/10mg | Shipping to US & Canada,10.0,43.19,33.19,331.9
84269,peptidegurus.com,"Retatrutide 20mg in stock in USA,EU,UK,Canada,Chin",20.0,20.02,0.019999999999999574,0.09999999999999788
76220,www.licensedpeptides.com,Retatrutide 12mg | USA Supplier| Same Day Shipping,12.0,12.03,0.02999999999999936,0.24999999999999467
80676,homopeptide.com,Trizepatide 30mg,30.0,38.9,8.899999999999999,29.666666666666664
74193,www.qinglishangmao.com,Retatrutide 50mg | wholesale,50.0,55.14,5.140000000000001,10.280000000000001
74788,peptidegurus.com,Tesamorelin 10 mg | Domestic shipping from USA and,10.0,10.9,0.9000000000000004,9.000000000000004
84762,www.mandybio.com,KLOW80 BPC TB500 GHK-Cu KPV 80mg,80.0,90.14,10.14,12.675
89901,www.meipeptide.com,NAD+ 500mg,500.0,706.83,206.83000000000004,41.36600000000001
89199,www.reta-peptide.com,NAD+ 500mg,500.0,706.83,206.83000000000004,41.36600000000001
80674,homopeptide.com,tesamorelin 10mg,10.0,9.6,-0.40000000000000036,-4.0000000000000036
80675,homopeptide.com,glow 70mg,70.0,89.22,19.22,27.45714285714286
57046,PEPTIDEGURUS.COM,Retatrutide 10MG | PeptideGurus,10.0,10.73,0.7300000000000004,7.300000000000003
49668,http://www.hkpeptide.com/,Tirzepatide 10mg,10.0,11.81,1.8100000000000005,18.100000000000005
49669,http://www.hkpeptide.com/,Tirzepatide 30mg,30.0,29.73,-0.2699999999999996,-0.8999999999999986
49670,http://www.hkpeptide.com/,NAD+ 500mg,500.0,615.23,115.23000000000002,23.046000000000003
62743,www.reta-peptide.com,Retatrutide 30mg,30.0,35.73,5.729999999999997,19.09999999999999
69929,https://zztai-tech.com/,Retatrutide 10mg,10.0,11.22,1.2200000000000006,12.200000000000006
69934,https://zztai-tech.com/,Tirzepatide 30mg,30.0,31.4,1.3999999999999986,4.666666666666662
71744,www.meipeptide.com,BPC5mg+TB5mg Blend,5.0,11.41,6.41,128.2
72096,www.meipeptide.com,Tirzepatide 30mg,30.0,34.38,4.380000000000003,14.600000000000007
